session_id,timestamp,visitor_id,x1,y1,x2,y2,cx,cy,zone
20250917-143624,2025-09-17T14:36:26.710624,1,488,343,1359,1073,923,708,None
20250917-143624,2025-09-17T14:36:26.922247,1,485,343,1359,1073,922,708,None
20250917-143624,2025-09-17T14:36:27.104254,1,489,343,1360,1073,924,708,None
20250917-143624,2025-09-17T14:36:27.312356,1,489,343,1360,1073,924,708,None
20250917-143624,2025-09-17T14:36:27.499352,1,489,343,1360,1073,924,708,None
20250917-143624,2025-09-17T14:36:27.665921,1,490,342,1360,1073,925,707,None
20250917-143624,2025-09-17T14:36:27.830316,1,487,343,1360,1073,923,708,None
20250917-143624,2025-09-17T14:36:28.007512,1,484,343,1360,1073,922,708,None
20250917-143624,2025-09-17T14:36:28.206900,1,485,343,1360,1073,922,708,None
20250917-143624,2025-09-17T14:36:28.395765,1,485,343,1359,1073,922,708,None
20250917-143624,2025-09-17T14:36:28.572700,1,486,343,1359,1073,922,708,None
20250917-143624,2025-09-17T14:36:28.757669,1,490,343,1360,1073,925,708,None
20250917-143624,2025-09-17T14:36:28.938909,1,485,344,1359,1073,922,708,None
20250917-143624,2025-09-17T14:36:29.138620,1,487,344,1359,1073,923,708,None
20250917-143624,2025-09-17T14:36:29.344248,1,487,344,1359,1073,923,708,None
20250917-143624,2025-09-17T14:36:29.544760,1,484,344,1360,1073,922,708,None
20250917-143624,2025-09-17T14:36:29.741051,1,485,345,1360,1073,922,709,None
20250917-143624,2025-09-17T14:36:29.941710,1,490,346,1361,1073,925,709,None
20250917-143624,2025-09-17T14:36:30.131987,1,489,346,1360,1073,924,709,None
20250917-143624,2025-09-17T14:36:30.312209,1,489,346,1360,1073,924,709,None
20250917-143624,2025-09-17T14:36:30.501501,1,490,345,1360,1073,925,709,None
20250917-143624,2025-09-17T14:36:30.670077,1,489,345,1361,1073,925,709,None
20250917-143624,2025-09-17T14:36:30.834366,1,490,345,1360,1073,925,709,None
20250917-143624,2025-09-17T14:36:30.999070,1,489,345,1360,1073,924,709,None
20250917-143624,2025-09-17T14:36:31.241300,1,487,346,1361,1073,924,709,None
20250917-143624,2025-09-17T14:36:31.330135,1,487,346,1361,1073,924,709,None
20250917-143624,2025-09-17T14:36:31.404250,1,491,345,1361,1073,926,709,None
