session_id,timestamp,visitor_id,x1,y1,x2,y2,cx,cy,zone
20250917-144731,2025-09-17T14:47:33.106295,1,582,372,1455,1075,1018,723,None
20250917-144731,2025-09-17T14:47:33.275513,1,591,372,1452,1073,1021,722,None
20250917-144731,2025-09-17T14:47:33.435835,1,593,371,1451,1073,1022,722,None
20250917-144731,2025-09-17T14:47:33.598039,1,591,372,1452,1074,1021,723,None
20250917-144731,2025-09-17T14:47:33.737579,1,591,371,1451,1073,1021,722,None
20250917-144731,2025-09-17T14:47:33.894791,1,589,372,1453,1073,1021,722,None
20250917-144731,2025-09-17T14:47:34.040697,1,590,371,1451,1073,1020,722,None
20250917-144731,2025-09-17T14:47:34.193427,1,591,372,1452,1073,1021,722,None
20250917-144731,2025-09-17T14:47:34.332785,1,592,373,1452,1073,1022,723,None
20250917-144731,2025-09-17T14:47:34.475160,1,593,372,1451,1073,1022,722,None
20250917-144731,2025-09-17T14:47:34.639190,1,582,372,1455,1074,1018,723,None
20250917-144731,2025-09-17T14:47:34.800590,1,593,372,1451,1073,1022,722,None
20250917-144731,2025-09-17T14:47:34.965511,1,588,372,1451,1073,1019,722,None
20250917-144731,2025-09-17T14:47:35.113002,1,588,371,1452,1073,1020,722,None
