session_id,timestamp,visitor_id,x1,y1,x2,y2,cx,cy,zone
20250917-143719,2025-09-17T14:37:21.097718,1,488,347,1359,1074,923,710,None
20250917-143719,2025-09-17T14:37:21.190465,1,494,348,1360,1074,927,711,None
20250917-143719,2025-09-17T14:37:21.421527,1,496,349,1361,1074,928,711,None
20250917-143719,2025-09-17T14:37:21.494931,1,482,349,1361,1073,921,711,None
20250917-143719,2025-09-17T14:37:21.589717,1,483,349,1360,1073,921,711,None
20250917-143719,2025-09-17T14:37:21.655915,1,484,349,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:21.720287,1,489,349,1360,1073,924,711,None
20250917-143719,2025-09-17T14:37:21.894505,1,485,349,1360,1074,922,711,None
20250917-143719,2025-09-17T14:37:21.992607,1,487,350,1360,1074,923,712,None
20250917-143719,2025-09-17T14:37:22.085729,1,484,350,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:22.153137,1,484,350,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:22.224904,1,482,350,1360,1074,921,712,None
20250917-143719,2025-09-17T14:37:22.387923,1,485,349,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:22.458816,1,484,350,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:22.524863,1,482,349,1360,1073,921,711,None
20250917-143719,2025-09-17T14:37:22.617343,1,481,350,1360,1073,920,711,None
20250917-143719,2025-09-17T14:37:22.688463,1,482,350,1360,1073,921,711,None
20250917-143719,2025-09-17T14:37:22.865776,1,486,351,1361,1073,923,712,None
20250917-143719,2025-09-17T14:37:22.954743,1,485,351,1360,1073,922,712,None
20250917-143719,2025-09-17T14:37:23.020639,1,488,350,1360,1073,924,711,None
20250917-143719,2025-09-17T14:37:23.087669,1,488,350,1360,1073,924,711,None
20250917-143719,2025-09-17T14:37:23.155008,1,487,350,1360,1073,923,711,None
20250917-143719,2025-09-17T14:37:23.328025,1,485,351,1360,1074,922,712,None
20250917-143719,2025-09-17T14:37:23.423060,1,484,350,1361,1074,922,712,None
20250917-143719,2025-09-17T14:37:23.496496,1,483,350,1360,1074,921,712,None
20250917-143719,2025-09-17T14:37:23.595064,1,483,351,1361,1073,922,712,None
20250917-143719,2025-09-17T14:37:23.698751,1,484,351,1360,1073,922,712,None
20250917-143719,2025-09-17T14:37:23.898783,1,487,350,1360,1073,923,711,None
20250917-143719,2025-09-17T14:37:24.008108,1,486,351,1360,1073,923,712,None
20250917-143719,2025-09-17T14:37:24.096394,1,486,351,1360,1074,923,712,None
20250917-143719,2025-09-17T14:37:24.195780,1,489,351,1360,1074,924,712,None
20250917-143719,2025-09-17T14:37:24.296968,1,488,350,1359,1073,923,711,None
20250917-143719,2025-09-17T14:37:24.499801,1,484,350,1359,1073,921,711,None
20250917-143719,2025-09-17T14:37:24.586063,1,485,350,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:24.651700,1,484,350,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:24.720548,1,487,351,1360,1073,923,712,None
20250917-143719,2025-09-17T14:37:24.783985,1,489,351,1360,1073,924,712,None
20250917-143719,2025-09-17T14:37:24.958491,1,488,350,1360,1073,924,711,None
20250917-143719,2025-09-17T14:37:25.027167,1,485,350,1359,1073,922,711,None
20250917-143719,2025-09-17T14:37:25.124425,1,483,350,1359,1073,921,711,None
20250917-143719,2025-09-17T14:37:25.193558,1,482,350,1359,1073,920,711,None
20250917-143719,2025-09-17T14:37:25.289322,1,483,350,1359,1073,921,711,None
20250917-143719,2025-09-17T14:37:25.457814,1,486,350,1359,1073,922,711,None
20250917-143719,2025-09-17T14:37:25.527060,1,485,350,1359,1073,922,711,None
20250917-143719,2025-09-17T14:37:25.626918,1,486,350,1360,1073,923,711,None
20250917-143719,2025-09-17T14:37:25.726484,1,484,350,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:25.795272,1,487,351,1360,1073,923,712,None
20250917-143719,2025-09-17T14:37:26.126052,1,487,350,1360,1074,923,712,None
20250917-143719,2025-09-17T14:37:26.191687,1,487,351,1360,1073,923,712,None
20250917-143719,2025-09-17T14:37:26.258725,1,488,351,1360,1073,924,712,None
20250917-143719,2025-09-17T14:37:26.326030,1,489,351,1359,1073,924,712,None
20250917-143719,2025-09-17T14:37:26.423156,1,485,350,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:26.594938,1,485,351,1361,1073,923,712,None
20250917-143719,2025-09-17T14:37:26.688754,1,483,351,1360,1073,921,712,None
20250917-143719,2025-09-17T14:37:26.759020,1,483,351,1360,1074,921,712,None
20250917-143719,2025-09-17T14:37:26.857242,1,484,351,1361,1073,922,712,None
20250917-143719,2025-09-17T14:37:26.928253,1,482,351,1360,1073,921,712,None
20250917-143719,2025-09-17T14:37:27.092025,1,485,350,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:27.160236,1,486,351,1360,1074,923,712,None
20250917-143719,2025-09-17T14:37:27.252628,1,486,350,1360,1073,923,711,None
20250917-143719,2025-09-17T14:37:27.324132,1,486,350,1361,1073,923,711,None
20250917-143719,2025-09-17T14:37:27.393600,1,485,349,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:27.571003,1,486,350,1360,1073,923,711,None
20250917-143719,2025-09-17T14:37:27.659905,1,488,350,1360,1073,924,711,None
20250917-143719,2025-09-17T14:37:27.725849,1,484,350,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:27.794669,1,485,350,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:27.894471,1,485,350,1360,1073,922,711,None
20250917-143719,2025-09-17T14:37:28.064685,1,488,350,1360,1073,924,711,None
20250917-143719,2025-09-17T14:37:28.166801,1,487,349,1360,1073,923,711,None
20250917-143719,2025-09-17T14:37:28.261633,1,487,350,1360,1073,923,711,None
20250917-143719,2025-09-17T14:37:28.357832,1,487,351,1360,1073,923,712,None
20250917-143719,2025-09-17T14:37:28.424379,1,489,351,1360,1073,924,712,None
20250917-143719,2025-09-17T14:37:28.597259,1,488,350,1361,1073,924,711,None
20250917-143719,2025-09-17T14:37:28.692345,1,487,351,1361,1073,924,712,None
20250917-143719,2025-09-17T14:37:28.788308,1,487,351,1361,1073,924,712,None
20250917-143719,2025-09-17T14:37:28.875888,1,484,351,1361,1073,922,712,None
20250917-143719,2025-09-17T14:37:28.973001,1,487,351,1361,1073,924,712,None
20250917-143719,2025-09-17T14:37:29.157777,1,486,351,1361,1073,923,712,None
20250917-143719,2025-09-17T14:37:29.229021,1,486,351,1360,1073,923,712,None
20250917-143719,2025-09-17T14:37:29.327370,1,488,351,1360,1073,924,712,None
20250917-143719,2025-09-17T14:37:29.426333,1,489,351,1360,1073,924,712,None
